File: shuffled_numbers.csv
Sort: Bubble Sort Distance from Sorted

2260000000 74026
2270000000 73891
2280000000 73756
2290000000 73620
2300000000 73484
2310000000 73346
2320000000 73212
2330000000 73075
2340000000 72938
2350000000 72800
2360000000 72662
2370000000 72526
2380000000 72386
2390000000 72247
2400000000 72111
2410000000 71972
2420000000 71833
2430000000 71694
2440000000 71552
2450000000 71415
2460000000 71270
2470000000 71133
2480000000 70992
2490000000 70851
2500000000 70710
2510000000 70568
2520000000 70426
2530000000 70285
2540000000 70141
2550000000 69999
2560000000 69855
2570000000 69714
2580000000 69570
2590000000 69426
2600000000 69281
2610000000 69138
2620000000 68993
2630000000 68848
2640000000 68701
2650000000 68556
2660000000 68410
2670000000 68263
2680000000 68118
2690000000 67969
2700000000 67823
2710000000 67676
2720000000 67528
2730000000 67379
2740000000 67230
2750000000 67082
2760000000 66933
2770000000 66782
2780000000 66632
2790000000 66482
2800000000 66333
2810000000 66180
2820000000 66029
2830000000 65877
2840000000 65725
2850000000 65573
2860000000 65421
2870000000 65268
2880000000 65115
2890000000 64961
2900000000 64805
2910000000 64652
2920000000 64496
2930000000 64342
2940000000 64185
2950000000 64029
2960000000 63874
2970000000 63717
2980000000 63559
2990000000 63403
3000000000 63244
3010000000 63085
3020000000 62927
3030000000 62768
3040000000 62609
3050000000 62449
3060000000 62289
3070000000 62127
3080000000 61967
3090000000 61805
3100000000 61643
3110000000 61480
3120000000 61317
3130000000 61155
3140000000 60990
3150000000 60827
3160000000 60662
3170000000 60496
3180000000 60332
3190000000 60165
3200000000 59999
3210000000 59831
3220000000 59664
3230000000 59497
3240000000 59328
3250000000 59159
3260000000 58990
3270000000 58821
3280000000 58650
3290000000 58480
3300000000 58309
3310000000 58137
3320000000 57965
3330000000 57790
3340000000 57618
3350000000 57445
3360000000 57270
3370000000 57096
3380000000 56920
3390000000 56744
3400000000 56568
3410000000 56390
3420000000 56212
3430000000 56031
3440000000 55856
3450000000 55676
3460000000 55495
3470000000 55316
3480000000 55135
3490000000 54953
3500000000 54771
3510000000 54588
3520000000 54405
3530000000 54221
3540000000 54036
3550000000 53850
3560000000 53665
3570000000 53477
3580000000 53291
3590000000 53103
3600000000 52914
3610000000 52725
3620000000 52534
3630000000 52342
3640000000 52153
3650000000 51961
3660000000 51768
3670000000 51572
3680000000 51380
3690000000 51184
3700000000 50988
3710000000 50792
3720000000 50595
3730000000 50396
3740000000 50199
3750000000 49999
3760000000 49798
3770000000 49595
3780000000 49395
3790000000 49192
3800000000 48989
3810000000 48784
3820000000 48579
3830000000 48371
3840000000 48163
3850000000 47955
3860000000 47748
3870000000 47538
3880000000 47326
3890000000 47116
3900000000 46903
3910000000 46689
3920000000 46475
3930000000 46259
3940000000 46042
3950000000 45824
3960000000 45605
3970000000 45385
3980000000 45165
3990000000 44940
4000000000 44720
4010000000 44495
4020000000 44271
4030000000 44044
4040000000 43816
4050000000 43587
4060000000 43358
4070000000 43127
4080000000 42893
4090000000 42660
4100000000 42424
4110000000 42189
4120000000 41951
4130000000 41711
4140000000 41472
4150000000 41230
4160000000 40987
4170000000 40742
4180000000 40496
4190000000 40248
4200000000 39999
4210000000 39748
4220000000 39496
4230000000 39242
4240000000 38986
4250000000 38728
4260000000 38468
4270000000 38209
4280000000 37946
4290000000 37682
4300000000 37415
4310000000 37147
4320000000 36877
4330000000 36605
4340000000 36330
4350000000 36051
4360000000 35776
4370000000 35495
4380000000 35209
4390000000 34927
4400000000 34638
4410000000 34350
4420000000 34056
4430000000 33762
4440000000 33465
4450000000 33165
4460000000 32862
4470000000 32556
4480000000 32247
4490000000 31936
4500000000 31621
4510000000 31303
4520000000 30982
4530000000 30658
4540000000 30330
4550000000 29998
4560000000 29663
4570000000 29324
4580000000 28981
4590000000 28631
4600000000 28282
4610000000 27927
4620000000 27566
4630000000 27201
4640000000 26830
4650000000 26456
4660000000 26074
4670000000 25687
4680000000 25295
4690000000 24897
4700000000 24492
4710000000 24080
4720000000 23661
4730000000 23235
4740000000 22800
4750000000 22357
4760000000 21906
4770000000 21444
4780000000 20973
4790000000 20490
4800000000 19996
4810000000 19490
4820000000 18970
4830000000 18435
4840000000 17885
4850000000 17317
4860000000 16722
4870000000 16114
4880000000 15482
4890000000 14822
4900000000 14132
4910000000 13406
4920000000 12625
4930000000 11807
4940000000 10930
4950000000 9975
4960000000 8919
4970000000 7720
4980000000 6297
4990000000 4422
4999950000 0
