File: evenDescOddAsc.csv
Sort: Bubble Sort Distance from Sorted

2260000000 48054
2270000000 47783
2280000000 47511
2290000000 47242
2300000000 46970
2310000000 46695
2320000000 46424
2330000000 46149
2340000000 45876
2350000000 45602
2360000000 45328
2370000000 45052
2380000000 44776
2390000000 44498
2400000000 44222
2410000000 43944
2420000000 43665
2430000000 43388
2440000000 43107
2450000000 42828
2460000000 42548
2470000000 42268
2480000000 41986
2490000000 41704
2500000000 41422
2510000000 41138
2520000000 40854
2530000000 40569
2540000000 40286
2550000000 40000
2560000000 39713
2570000000 39428
2580000000 39140
2590000000 38852
2600000000 38564
2610000000 38274
2620000000 37985
2630000000 37694
2640000000 37404
2650000000 37112
2660000000 36819
2670000000 36528
2680000000 36234
2690000000 35940
2700000000 35646
2710000000 35349
2720000000 35056
2730000000 34758
2740000000 34462
2750000000 34163
2760000000 33866
2770000000 33566
2780000000 33266
2790000000 32966
2800000000 32664
2810000000 32361
2820000000 32060
2830000000 31755
2840000000 31452
2850000000 31148
2860000000 30842
2870000000 30536
2880000000 30230
2890000000 29922
2900000000 29613
2910000000 29306
2920000000 28996
2930000000 28685
2940000000 28374
2950000000 28062
2960000000 27749
2970000000 27436
2980000000 27122
2990000000 26805
3000000000 26490
3010000000 26174
3020000000 25856
3030000000 25538
3040000000 25220
3050000000 24899
3060000000 24578
3070000000 24255
3080000000 23934
3090000000 23612
3100000000 23288
3110000000 22962
3120000000 22635
3130000000 22310
3140000000 21981
3150000000 21654
3160000000 21326
3170000000 20994
3180000000 20664
3190000000 20331
3200000000 19998
3210000000 19666
3220000000 19329
3230000000 18993
3240000000 18657
3250000000 18320
3260000000 17982
3270000000 17642
3280000000 17301
3290000000 16959
3300000000 16617
3310000000 16274
3320000000 15930
3330000000 15584
3340000000 15237
3350000000 14889
3360000000 14542
3370000000 14192
3380000000 13839
3390000000 13488
3400000000 13136
3410000000 12782
3420000000 12426
3430000000 12069
3440000000 11712
3450000000 11354
3460000000 10994
3470000000 10634
3480000000 10269
3490000000 9908
3500000000 9544
3510000000 9177
3520000000 8810
3530000000 8442
3540000000 8072
3550000000 7701
3560000000 7329
3570000000 6956
3580000000 6582
3590000000 6206
3600000000 5828
3610000000 5450
3620000000 5070
3630000000 4688
3640000000 4305
3650000000 3921
3660000000 3536
3670000000 3147
3680000000 2760
3690000000 2370
3700000000 1977
3710000000 1586
3720000000 1190
3730000000 794
3740000000 398
3750000000 0
3760000000 0
3770000000 0
3780000000 0
3790000000 0
3800000000 0
3810000000 0
3820000000 0
3830000000 0
3840000000 0
3850000000 0
3860000000 0
3870000000 0
3880000000 0
3890000000 0
3900000000 0
3910000000 0
3920000000 0
3930000000 0
3940000000 0
3950000000 0
3960000000 0
3970000000 0
3980000000 0
3990000000 0
4000000000 0
4010000000 0
4020000000 0
4030000000 0
4040000000 0
4050000000 0
4060000000 0
4070000000 0
4080000000 0
4090000000 0
4100000000 0
4110000000 0
4120000000 0
4130000000 0
4140000000 0
4150000000 0
4160000000 0
4170000000 0
4180000000 0
4190000000 0
4200000000 0
4210000000 0
4220000000 0
4230000000 0
4240000000 0
4250000000 0
4260000000 0
4270000000 0
4280000000 0
4290000000 0
4300000000 0
4310000000 0
4320000000 0
4330000000 0
4340000000 0
4350000000 0
4360000000 0
4370000000 0
4380000000 0
4390000000 0
4400000000 0
4410000000 0
4420000000 0
4430000000 0
4440000000 0
4450000000 0
4460000000 0
4470000000 0
4480000000 0
4490000000 0
4500000000 0
4510000000 0
4520000000 0
4530000000 0
4540000000 0
4550000000 0
4560000000 0
4570000000 0
4580000000 0
4590000000 0
4600000000 0
4610000000 0
4620000000 0
4630000000 0
4640000000 0
4650000000 0
4660000000 0
4670000000 0
4680000000 0
4690000000 0
4700000000 0
4710000000 0
4720000000 0
4730000000 0
4740000000 0
4750000000 0
4760000000 0
4770000000 0
4780000000 0
4790000000 0
4800000000 0
4810000000 0
4820000000 0
4830000000 0
4840000000 0
4850000000 0
4860000000 0
4870000000 0
4880000000 0
4890000000 0
4900000000 0
4910000000 0
4920000000 0
4930000000 0
4940000000 0
4950000000 0
4960000000 0
4970000000 0
4980000000 0
4990000000 0
4999950000 0
