File: shuffled_numbers.csv
3440000000 55857
3450000000 55678
3460000000 55498
3470000000 55317
3480000000 55136
3490000000 54955
3500000000 54772
3510000000 54589
3520000000 54406
3530000000 54222
3540000000 54037
3550000000 53852
3560000000 53666
3570000000 53479
3580000000 53292
3590000000 53104
3600000000 52915
3610000000 52726
3620000000 52536
3630000000 52345
3640000000 52154
3650000000 51962
3660000000 51769
3670000000 51575
3680000000 51381
3690000000 51186
3700000000 50990
3710000000 50794
3720000000 50596
3730000000 50398
3740000000 50200
3750000000 50000
3760000000 49800
3770000000 49598
3780000000 49396
3790000000 49193
3800000000 48990
3810000000 48785
3820000000 48580
3830000000 48374
3840000000 48166
3850000000 47958
3860000000 47749
3870000000 47539
3880000000 47329
3890000000 47117
3900000000 46904
3910000000 46690
3920000000 46476
3930000000 46260
3940000000 46043
3950000000 45826
3960000000 45607
3970000000 45387
3980000000 45166
3990000000 44944
4000000000 44721
4010000000 44497
4020000000 44272
4030000000 44045
4040000000 43818
4050000000 43589
4060000000 43359
4070000000 43128
4080000000 42895
4090000000 42661
4100000000 42426
4110000000 42190
4120000000 41952
4130000000 41713
4140000000 41473
4150000000 41231
4160000000 40988
4170000000 40743
4180000000 40497
4190000000 40249
4200000000 40000
4210000000 39749
4220000000 39497
4230000000 39243
4240000000 38987
4250000000 38730
4260000000 38470
4270000000 38210
4280000000 37947
4290000000 37683
4300000000 37416
4310000000 37148
4320000000 36878
4330000000 36606
4340000000 36331
4350000000 36055
4360000000 35777
4370000000 35496
4380000000 35213
4390000000 34928
4400000000 34641
4410000000 34351
4420000000 34058
4430000000 33763
4440000000 33466
4450000000 33166
4460000000 32863
4470000000 32557
4480000000 32248
4490000000 31937
4500000000 31622
4510000000 31304
4520000000 30983
4530000000 30659
4540000000 30331
4550000000 29999
4560000000 29664
4570000000 29325
4580000000 28982
4590000000 28635
4600000000 28284
4610000000 27928
4620000000 27567
4630000000 27202
4640000000 26832
4650000000 26457
4660000000 26076
4670000000 25690
4680000000 25297
4690000000 24899
4700000000 24494
4710000000 24082
4720000000 23663
4730000000 23237
4740000000 22802
4750000000 22359
4760000000 21908
4770000000 21446
4780000000 20975
4790000000 20492
4800000000 19998
4810000000 19492
4820000000 18972
4830000000 18437
4840000000 17887
4850000000 17319
4860000000 16731
4870000000 16122
4880000000 15490
4890000000 14830
4900000000 14140
4910000000 13414
4920000000 12646
4930000000 11829
4940000000 10951
4950000000 9996
4960000000 8940
4970000000 7741
4980000000 6318
4990000000 4462
4999950000 0
